N_Name,Class,Direction,Time
N_14693,car,route_9,799.9744081
N_14709,car,route_11,801.4388186
N_14714,car,route_11,801.7465096
N_14685,car,route_11,801.8226741999999
N_14719,car,route_11,802.2079931
N_14373,car,route_10,803.1252903999999
N_14844,bus,route_9,820.6733575
N_14847,bus,route_9,820.9039941999999
N_14852,bus,route_9,821.3638692
N_14864,bus,route_9,822.5024727
N_14868,car,route_9,822.9645277
N_14875,bus,route_9,823.5128142
N_14890,car,route_9,825.2671895
N_14897,car,route_9,826.733789
N_14919,car,route_11,828.1127068
N_14896,car,route_11,829.0511076
N_14930,car,route_11,829.8161825
N_14936,truck,route_9,830.5806749999999
N_14943,car,route_9,830.808887
N_14946,bus,route_9,831.5056519999999
N_14949,truck,route_9,831.7388463999999
N_14951,truck,route_9,831.9739463
N_14952,truck,route_9,832.1279423999999
N_14953,bus,route_9,832.2855228
N_14971,truck,route_9,834.2799130999999
N_15073,bus,route_9,849.3847142999999
N_15078,bus,route_9,849.6933852
N_15090,truck,route_9,850.6863499
N_15094,bus,route_9,850.9965942
N_15097,car,route_9,851.3802059
N_15101,bus,route_9,851.6843081
N_15108,car,route_11,852.7543584
N_15112,car,route_11,852.9853673
N_15117,bus,route_9,855.363403
N_15118,bus,route_9,855.8202526
N_15119,car,route_11,855.8202663
N_15123,bus,route_9,856.4282541
N_15140,car,route_9,858.9495227
N_15155,bus,route_9,860.6332892
N_15159,truck,route_9,860.9386247
N_15165,truck,route_9,861.8586094
N_15269,car,route_11,881.4211144
N_15272,car,route_11,881.6488075999999
N_15280,car,route_11,882.1849129
N_15304,bus,route_9,885.3256639
N_15306,bus,route_9,885.635103
N_15307,bus,route_9,885.9483732
N_15311,bus,route_9,886.3325658
N_15318,bus,route_9,887.4809107
N_15344,bus,route_9,890.9400528
N_15361,bus,route_9,894.0840688
N_15366,bus,route_9,894.6139226
N_15373,bus,route_9,895.1503584999999
N_15386,bus,route_9,897.1366469
N_15389,bus,route_9,897.4466399
N_15129,truck,route_9,899.0583647999999
N_15022,car,route_10,902.8853365
N_15444,bus,route_9,905.3404502999999
N_15445,bus,route_9,905.5675374
N_15476,bus,route_9,911.0793225
N_15480,bus,route_9,911.6121115999999
N_15488,bus,route_9,913.2233639
N_15495,bus,route_9,914.2923293
N_15502,bus,route_9,914.9069092
N_15504,truck,route_9,915.1379421
N_15511,bus,route_9,915.441692
N_15532,bus,route_9,918.2065618
N_15534,bus,route_9,918.5127115
N_15546,bus,route_9,919.6609466
N_15549,bus,route_9,920.1960454
N_15574,bus,route_9,921.9551670999999
N_15585,bus,route_9,922.8835081999999
N_15601,bus,route_9,923.8856344999999
N_15621,bus,route_9,924.8045915
N_15736,bus,route_9,929.800831
N_15762,bus,route_9,930.4918633
N_15770,bus,route_9,930.8058085
N_15780,bus,route_9,931.1114057999999
N_15898,car,route_10,934.6325763
N_15829,truck,route_9,935.0919669
N_16018,truck,route_10,937.7960151999999
N_16059,car,route_10,941.1742012
N_16137,car,route_10,941.2506094
N_16138,car,route_9,941.2506218
N_16134,car,route_9,944.2469044
N_16295,car,route_9,945.2531663999999
N_16396,car,route_9,948.1853471
N_16429,car,route_9,948.9579669
N_16508,car,route_9,950.7319318
N_16523,motorcycle,route_10,951.1922872
N_16568,motorcycle,route_10,952.7288907
N_16623,car,route_9,953.8862756
N_16474,car,route_10,954.5019692
N_16664,car,route_9,956.8059549
N_16771,car,route_9,957.0394242
N_16844,car,route_10,958.6765687
N_16320,car,route_9,961.0668254999999
N_16954,motorcycle,route_9,961.5327101
N_16965,motorcycle,route_9,961.6858162
N_16915,car,route_9,963.8333468999999
N_17127,car,route_9,966.2905317999999
